2021-08-01 13:54:43 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.boe.es/boe/dias/2015/07/21/pdfs/BOE-A-2015-8149.pdf#page=132
2021-08-01 13:54:44 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-de-la-naturaleza-1y2eso
2021-08-01 13:54:44 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:44 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ambito-cientifico-matematico---pmar
2021-08-01 13:54:44 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:44 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.boe.es/buscar/act.php?id=BOE-A-2015-37#a19
2021-08-01 13:54:45 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/4-eso-biologia-y-geologia
2021-08-01 13:54:45 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:45 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ampliacion-fisica-y-quimica-4-eso/curriculo-ampliacion-fisica-quimica-4-eso
2021-08-01 13:54:45 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:45 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ampliacion-fisica-y-quimica-4-eso/curriculo-ampliacion-fisica-quimica-4-eso-lomce
2021-08-01 13:54:45 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:45 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.bocm.es/boletin/CM_Orden_BOCM/2016/07/01/BOCM-20160701-7.PDF
2021-08-01 13:54:46 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/cultura-cientifica-4-eso/recursos-cultura-cientifica-4-eso
2021-08-01 13:54:46 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:46 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.quora.com/Why-do-so-many-people-blindly-accept-the-global-warming-hypothesis-without-making-any-unbiased-research/answer/Diane-Burrell-1
2021-08-01 13:54:47 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/cultura-cientifica-4-eso/curriculo-cultura-cientifica-4-eso
2021-08-01 13:54:47 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:47 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-aplicadas-a-la-actividad-profesional-4-eso/curriculo-ciencias-aplicadas-a-la-actividad-profesional-4-eso-lomce
2021-08-01 13:54:47 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:47 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/ciencias-aplicadas-a-la-actividad-profesional-4-eso/curriculo-ciencias-aplicadas-a-la-actividad-profesional-4-eso
2021-08-01 13:54:47 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
